id,titulo,bloque,prioridad,herramienta,estado,notas
S1,Cifrado real de credenciales en integration_accounts,Seguridad,Crítico,Claude Code,Pendiente,
S2,Rate limit + token de widget en endpoints públicos,Seguridad,Crítico,Claude Code + OpenCode,En progreso,
S3,Protección de /api/appointments/create,Seguridad,Crítico,Claude Code,Pendiente,
S4,Protección CSRF en backoffice,Seguridad,Crítico,Claude Code,Pendiente,
S5,Restringir CORS,Seguridad,Alto,OpenCode,Pendiente,
S6,Validar SSRF en prueba de integraciones,Seguridad,Alto,Claude Code,Pendiente,
S7,Rate limit + bloqueo temporal en login,Seguridad,Alto,OpenCode,Pendiente,
S8,Limpieza automática de sesiones + revocación,Seguridad,Alto,OpenCode,Pendiente,
S9,Política de password más fuerte,Seguridad,Alto,OpenCode,Pendiente,
S10,Auditoría persistente (audit_log),Seguridad,Medio,Claude Code + OpenCode,Pendiente,
S11,Permisos granulares lectura/escritura,Seguridad,Medio,Claude Code,Pendiente,
F1,Flujo real de webhooks inbound/outbound,Funcionalidad,Alto,Claude Code,Pendiente,
F2,Bandeja de conversaciones profesional,Funcionalidad,Alto,Claude Code + OpenCode,Pendiente,
F3,Dashboard accionable,Funcionalidad,Alto,Claude Code + OpenCode,Pendiente,
F4,Módulo de auditoría/actividad general,Funcionalidad,Alto,OpenCode,Pendiente,
F5,Tests automatizados básicos,Funcionalidad,Alto,OpenCode,Pendiente,
F6,Ruteo visual para marketplaces,Funcionalidad,Medio,Claude Code + OpenCode,Pendiente,
F7,Transferencias entre agentes/equipos,Funcionalidad,Medio,Claude Code,Pendiente,
F8,Pantalla de estado de integraciones,Funcionalidad,Medio,OpenCode,Pendiente,
F9,Herramienta de depuración de contexto IA,Funcionalidad,Medio,Claude Code,Pendiente,
F10,Versionado de prompts con rollback,Funcionalidad,Medio,Claude Code + OpenCode,Pendiente,
F11,Actualizar README,Funcionalidad,Bajo,OpenCode,Pendiente,
U1,Tokens globales de diseño (CSS),UX,Crítico,OpenCode,Pendiente,
U2,Shell: sidebar topbar login y navegación,UX,Crítico,OpenCode,Pendiente,
U3,Dashboard rediseñado,UX,Crítico,OpenCode,Pendiente,
U4,Conversaciones como contact center,UX,Crítico,OpenCode,Pendiente,
U5,Módulos de configuración rediseñados,UX,Crítico,OpenCode,Pendiente,
U6,Responsive completo,UX,Crítico,OpenCode,Pendiente,
